Freq,Type,Variant,Area,MaxDataArrival
100,fpall,4OPS,N/A,N/A
100,fpall,5OPS,N/A,N/A
100,fpall,6OPS,N/A,N/A
100,fpall,7OPS,N/A,N/A
100,add,FP32,1787.519988,1.80
200,fpall,4OPS,N/A,N/A
200,fpall,5OPS,N/A,N/A
200,fpall,6OPS,N/A,N/A
200,fpall,7OPS,N/A,N/A
200,add,FP32,2209.661971,1.14
