PipelineStages,Area,MaxDataArrival
1,7551.207942,8.25
2,8240.679914,5.69
3,8627.177895,4.44
4,9519.341869,3.66
5,10501.147828,3.07
6,10824.337812,2.65
7,11691.497780,2.30
8,12218.177761,2.12
9,12710.543745,1.92
10,13456.407713,1.81
11,14581.055678,1.64
12,15207.485655,1.49
