PipelineStages,Area,MaxDataArrival
1,4614.035999,2.11
2,4791.457993,2.08
3,4933.501988,2.08
4,5079.801982,2.08
5,5204.555978,2.08
6,5349.791972,2.08
7,5490.505967,2.08
8,6024.899950,2.07
9,6174.125945,2.04
10,6319.361940,2.07
11,6456.883934,2.07
12,6564.879929,2.04
13,6710.913924,2.04
14,6909.083919,2.08
15,7021.867913,2.04
16,7166.305908,2.03
17,7313.669903,2.03
18,7457.309897,2.04
